idjunc,typejunc,xjunc,yjunc,incLanes,intLanes
1341496620,priority,2217.16,800.46,"['363082411#2_0', '119372736#4_0']","[':1341496620_0_0', ':1341496620_1_0', ':1341496620_2_0', ':1341496620_3_0']"
1341496634,right_before_left,1418.78,353.53,"['121860436_0', '119372735#5_0']","[':1341496634_0_0', ':1341496634_1_0']"
1341499811,right_before_left,1444.35,440.39,"['26824848#1_0', '-26824848#2_0']","[':1341499811_0_0', ':1341499811_1_0', ':1341499811_2_0', ':1341499811_3_0', ':1341499811_4_0', ':1341499811_5_0']"
1341499822,traffic_light,1453.60,492.37,"['26824848#0_0', '-26824848#1_0']","[':1341499822_0_0', ':1341499822_1_0', ':1341499822_6_0', ':1341499822_3_0', ':1341499822_7_0', ':1341499822_8_0']"
1341499830,priority,1280.77,545.38,"['-263684088_0', '263684087#1_0']","[':1341499830_0_0', ':1341499830_4_0', ':1341499830_2_0', ':1341499830_5_0']"
1341514128,priority,516.40,743.29,['-263684087#0_0'],[':1341514128_0_0']
1341734913,priority,1550.93,1105.66,['96144319_0'],[':1341734913_0_0']
1345310165,dead_end,1437.13,97.63,['119859563#1_0'],[]
1345562119,dead_end,1261.34,277.99,['119891047_0'],[]
1345562132,dead_end,1256.75,254.99,[],[]
1345562134,dead_end,1249.75,264.52,['119891046#0_0'],[]
1345562135,dead_end,1200.81,267.98,"['119891046#1_0', '119891045_0']",[]
1363122060,dead_end,1330.72,263.51,['121860453_0'],[]
1363122063,priority,1383.52,327.25,['119372735#3_0'],"[':1363122063_0_0', ':1363122063_1_0']"
1363122068,priority,1340.48,269.51,"['121860444_0', '119859564#0_0', '121860454#1_0', '-119859564#1_0']","[':1363122068_0_0', ':1363122068_1_0', ':1363122068_2_0', ':1363122068_8_0', ':1363122068_4_0', ':1363122068_5_0', ':1363122068_6_0', ':1363122068_9_0']"
1363122070,priority,1280.65,421.78,"['-121860443_0', '96152246_0']","[':1363122070_0_0', ':1363122070_4_0', ':1363122070_2_0', ':1363122070_5_0']"
1363122074,dead_end,1247.67,424.05,['121860456#1_0'],[]
1363122090,dead_end,1335.61,248.83,['121860440_0'],[]
1363122103,dead_end,1300.87,313.90,[],[]
1363122104,right_before_left,1246.01,414.05,"['121860456#0_0', '121860432_0']","[':1363122104_0_0', ':1363122104_1_0']"
1363122109,dead_end,1252.63,333.50,[],[]
1363122116,priority,1316.45,321.30,"['119859564#2_0', '121860442_0', '-119859564#3_0']","[':1363122116_0_0', ':1363122116_6_0', ':1363122116_2_0', ':1363122116_3_0', ':1363122116_4_0', ':1363122116_7_0']"
1363122130,right_before_left,1360.05,478.39,"['-96152260#6_0', '121860443_0', '96152260#5_0']","[':1363122130_0_0', ':1363122130_1_0', ':1363122130_2_0', ':1363122130_3_0', ':1363122130_4_0', ':1363122130_5_0', ':1363122130_6_0', ':1363122130_7_0', ':1363122130_8_0']"
1363122133,dead_end,1318.79,254.87,[],[]
1363122138,dead_end,1298.83,258.11,[],[]
1363122144,priority,1260.58,329.57,['-121860445#0_0'],[':1363122144_0_0']
1363122149,dead_end,1314.73,439.27,['121860430_0'],[]
1363122152,right_before_left,1294.02,356.37,"['-96152239#1_0', '121860445#1_0', '96152239#0_0']","[':1363122152_0_0', ':1363122152_1_0', ':1363122152_2_0', ':1363122152_3_0', ':1363122152_4_0', ':1363122152_5_0', ':1363122152_6_0', ':1363122152_7_0', ':1363122152_8_0']"
1363122155,priority,1328.20,295.70,"['119859564#1_0', '121860452_0', '-119859564#2_0']","[':1363122155_0_0', ':1363122155_6_0', ':1363122155_2_0', ':1363122155_3_0', ':1363122155_4_0', ':1363122155_7_0']"
1363122156,right_before_left,1379.66,328.80,"['121860431_0', '119372735#2_0']","[':1363122156_0_0', ':1363122156_1_0']"
1363122164,dead_end,1244.85,334.46,"['121860428_0', '121860441_0']",[]
1363122170,right_before_left,1382.42,374.40,"['-96152205#1_0', '96152205#0_0']","[':1363122170_0_0', ':1363122170_1_0', ':1363122170_2_0', ':1363122170_3_0', ':1363122170_4_0', ':1363122170_5_0']"
1363122174,priority,1337.06,267.02,['121860454#0_0'],"[':1363122174_0_0', ':1363122174_1_0']"
1363122176,dead_end,1259.02,330.47,['121860448_0'],[]
1363122186,priority,1309.42,333.83,['119859564#4_0'],[':1363122186_0_0']
1363122188,dead_end,1234.50,345.00,[],[]
1363122190,dead_end,1312.89,442.25,[],[]
1363122217,dead_end,1275.83,344.17,[],[]
1539633398,right_before_left,1834.20,371.39,"['-215654684#4_0', '215654684#3_0', '-215654684#0_0']","[':1539633398_0_0', ':1539633398_1_0', ':1539633398_2_0', ':1539633398_3_0', ':1539633398_4_0', ':1539633398_5_0', ':1539633398_6_0', ':1539633398_7_0', ':1539633398_8_0']"
